96	96
asymmetric
0 0	0.82000
0 1	0.07000
0 5	0.05000
0 6	0.03000
1 0	0.14000
1 1	0.70000
1 5	0.07000
1 6	0.05000
2 0	0.11000
2 1	0.12000
2 2	0.63000
2 3	0.08000
3 0	0.13000
3 1	0.20000
3 3	0.53000
3 58	0.09000
4 1	0.11000
4 4	0.59000
4 6	0.16000
4 58	0.07000
5 0	0.75000
5 8	0.15000
6 0	0.05000
6 1	0.04000
6 6	0.84000
6 58	0.04000
7 0	0.08000
7 1	0.11000
7 7	0.65000
8 5	0.04000
8 8	0.83000
8 9	0.05000
9 9	0.90000
9 13	0.02000
10 9	0.57000
10 10	0.01000
10 11	0.16000
10 12	0.01000
11 9	0.40000
11 11	0.35000
12 9	0.55000
12 10	0.01000
12 11	0.14000
12 12	0.01000
13 9	0.02000
13 13	0.94000
13 14	0.02000
14 8	0.03000
14 14	0.82000
14 15	0.03000
14 17	0.10000
15 15	0.88000
15 54	0.05000
15 55	0.03000
15 59	0.02000
16 15	0.40000
16 16	0.01000
16 54	0.27000
16 55	0.18000
16 59	0.08000
17 14	0.02000
17 17	0.93000
17 18	0.02000
17 19	0.01000
18 18	0.82000
18 19	0.04000
18 82	0.07000
19 18	0.09000
19 19	0.74000
19 82	0.05000
20 20	0.87000
20 21	0.03000
20 22	0.03000
20 47	0.04000
21 20	0.06000
21 21	0.86000
22 21	0.04000
22 22	0.91000
22 27	0.03000
23 21	0.17000
23 22	0.09000
23 23	0.69000
24 20	0.06000
24 23	0.11000
24 24	0.69000
24 25	0.08000
25 20	0.09000
25 21	0.03000
25 23	0.03000
25 25	0.83000
26 22	0.11000
26 23	0.08000
26 25	0.06000
26 26	0.69000
27 27	0.92000
27 36	0.02000
27 53	0.02000
28 28	0.64000
28 30	0.11000
28 31	0.10000
28 32	0.08000
29 29	0.91000
29 32	0.09000
30 27	0.11000
30 30	0.75000
30 39	0.13000
31 27	0.04000
31 31	0.88000
31 36	0.04000
31 39	0.04000
32 27	0.11000
32 31	0.10000
32 32	0.62000
32 37	0.09000
33 29	0.13000
33 30	0.11000
33 33	0.58000
33 37	0.09000
34 30	0.09000
34 32	0.12000
34 34	0.62000
34 37	0.09000
35 18	0.13000
35 35	0.66000
35 42	0.08000
36 27	0.04000
36 36	0.76000
36 47	0.04000
36 53	0.12000
37 27	0.09000
37 30	0.05000
37 32	0.10000
37 37	0.70000
38 36	0.09000
38 37	0.11000
38 38	0.66000
38 39	0.14000
39 27	0.10000
39 36	0.07000
39 39	0.75000
39 53	0.04000
40 32	0.04000
40 34	0.04000
40 38	0.04000
40 40	0.68000
41 41	0.81000
42 18	0.08000
42 42	0.75000
42 47	0.05000
43 42	0.34000
43 43	0.46000
43 44	0.12000
43 45	0.04000
44 42	0.23000
44 43	0.08000
44 44	0.64000
44 46	0.05000
45 42	0.13000
45 43	0.17000
45 44	0.18000
45 45	0.52000
46 42	0.21000
46 43	0.17000
46 44	0.17000
46 46	0.53000
47 18	0.06000
47 19	0.06000
47 47	0.76000
48 47	0.06000
48 48	0.90000
48 53	0.02000
49 47	0.15000
49 48	0.22000
49 49	0.39000
49 53	0.13000
50 47	0.26000
50 48	0.14000
50 50	0.38000
50 53	0.13000
51 48	0.14000
51 51	0.46000
51 52	0.12000
51 53	0.17000
52 47	0.09000
52 48	0.16000
52 52	0.55000
52 53	0.15000
53 47	0.07000
53 48	0.11000
53 49	0.03000
53 53	0.78000
54 15	0.09000
54 54	0.81000
54 55	0.04000
55 15	0.14000
55 54	0.11000
55 55	0.71000
56 15	0.15000
56 54	0.20000
56 55	0.09000
56 56	0.53000
57 54	0.08000
57 55	0.05000
57 56	0.06000
57 57	0.75000
58 1	0.16000
58 6	0.08000
58 58	0.59000
59 59	0.80000
59 60	0.10000
59 61	0.04000
59 63	0.03000
60 60	0.89000
60 66	0.03000
61 59	0.11000
61 61	0.64000
61 63	0.10000
61 64	0.07000
62 61	0.10000
62 62	0.65000
62 63	0.07000
62 65	0.13000
63 59	0.10000
63 61	0.04000
63 63	0.79000
63 64	0.04000
64 59	0.08000
64 61	0.09000
64 63	0.11000
64 64	0.64000
65 59	0.09000
65 61	0.09000
65 63	0.09000
65 65	0.66000
66 18	0.02000
66 66	0.91000
66 67	0.04000
67 18	0.01000
67 67	0.95000
67 80	0.02000
67 81	0.01000
68 67	0.46000
68 68	0.38000
68 69	0.07000
68 80	0.06000
69 67	0.16000
69 68	0.03000
69 69	0.76000
69 80	0.03000
70 67	0.05000
70 70	0.63000
70 71	0.19000
70 72	0.11000
71 70	0.04000
71 71	0.87000
71 72	0.04000
71 74	0.02000
72 70	0.12000
72 71	0.18000
72 72	0.64000
72 74	0.05000
73 70	0.14000
73 71	0.23000
73 72	0.27000
73 73	0.31000
74 71	0.07000
74 74	0.73000
74 76	0.09000
75 70	0.11000
75 71	0.17000
75 74	0.48000
75 75	0.01000
75 76	0.14000
76 67	0.04000
76 74	0.03000
76 76	0.89000
76 80	0.03000
77 67	0.38000
77 77	0.47000
77 80	0.06000
77 81	0.08000
78 66	0.25000
78 67	0.02000
78 78	0.71000
78 79	0.01000
79 18	0.03000
79 67	0.02000
79 79	0.89000
80 67	0.06000
80 80	0.90000
81 67	0.19000
81 77	0.01000
81 80	0.02000
81 81	0.77000
82 18	0.08000
82 19	0.02000
82 82	0.86000
83 18	0.05000
83 19	0.17000
83 83	0.65000
84 19	0.10000
84 83	0.16000
84 84	0.59000
85 85	0.46000
85 86	0.30000
85 87	0.16000
85 91	0.04000
86 86	0.84000
86 88	0.06000
86 89	0.04000
86 90	0.04000
87 85	0.09000
87 86	0.08000
87 87	0.71000
87 91	0.06000
88 86	0.12000
88 88	0.68000
88 89	0.08000
88 90	0.09000
89 86	0.09000
89 88	0.10000
89 89	0.65000
89 90	0.08000
90 86	0.09000
90 88	0.09000
90 90	0.72000
91 91	0.73000
91 92	0.06000
91 93	0.06000
91 94	0.10000
92 91	0.05000
92 92	0.83000
92 93	0.04000
92 94	0.05000
93 87	0.12000
93 92	0.09000
93 93	0.62000
93 94	0.09000
94 87	0.05000
94 91	0.07000
94 92	0.07000
94 94	0.77000
95 86	0.09000
95 89	0.08000
95 90	0.06000
95 95	0.71000
